date,Case_Shiller_Index
2000-01-01,100.0
2000-02-01,100.571
2000-03-01,101.466
2000-04-01,102.54
2000-05-01,103.702
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.29
2000-12-01,108.791
2001-01-01,109.214
2001-02-01,109.642
2001-03-01,110.394
2001-04-01,111.247
2001-05-01,112.202
2001-06-01,113.272
2001-07-01,114.226
2001-08-01,114.987
2001-09-01,115.465
2001-10-01,115.681
2001-11-01,115.838
2001-12-01,116.055
2002-01-01,116.436
2002-02-01,116.916
2002-03-01,117.929
2002-04-01,119.208
2002-05-01,120.788
2002-06-01,122.333
2002-07-01,123.687
2002-08-01,124.729
2002-09-01,125.494
2002-10-01,126.136
2002-11-01,126.642
2002-12-01,127.151
2003-01-01,127.652
2003-02-01,128.326
2003-03-01,129.308
2003-04-01,130.488
2003-05-01,131.839
2003-06-01,133.225
2003-07-01,134.64700000000002
2003-08-01,135.965
2003-09-01,137.076
2003-10-01,137.976
2003-11-01,138.765
2003-12-01,139.628
2004-01-01,140.705
2004-02-01,142.028
2004-03-01,144.079
2004-04-01,146.179
2004-05-01,148.334
2004-06-01,150.518
2004-07-01,152.33700000000002
2004-08-01,153.813
2004-09-01,155.107
2004-10-01,156.298
2004-11-01,157.495
2004-12-01,158.66899999999998
2005-01-01,160.129
2005-02-01,161.923
2005-03-01,164.575
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.923
2005-09-01,177.61
2005-10-01,178.75099999999998
2005-11-01,179.673
2005-12-01,180.106
2006-01-01,180.827
2006-02-01,181.499
2006-03-01,182.749
2006-04-01,183.647
2006-05-01,184.379
2006-06-01,184.546
2006-07-01,184.607
2006-08-01,184.404
2006-09-01,184.198
2006-10-01,184.053
2006-11-01,183.63099999999997
2006-12-01,183.228
2007-01-01,182.717
2007-02-01,182.47
2007-03-01,182.192
2007-04-01,182.13
2007-05-01,181.884
2007-06-01,181.539
2007-07-01,180.992
2007-08-01,180.233
2007-09-01,179.12099999999998
2007-10-01,177.52900000000002
2007-11-01,175.16099999999997
2007-12-01,173.33700000000002
2008-01-01,171.076
2008-02-01,169.18900000000002
2008-03-01,167.90200000000002
2008-04-01,167.322
2008-05-01,167.019
2008-06-01,166.53599999999997
2008-07-01,165.71200000000002
2008-08-01,164.27599999999998
2008-09-01,161.911
2008-10-01,159.162
2008-11-01,156.071
2008-12-01,152.54399999999998
2009-01-01,149.362
2009-02-01,147.618
2009-03-01,146.514
2009-04-01,146.941
2009-05-01,148.168
2009-06-01,149.795
2009-07-01,150.747
2009-08-01,150.668
2009-09-01,149.627
2009-10-01,148.585
2009-11-01,147.939
2009-12-01,146.66299999999998
2010-01-01,145.003
2010-02-01,143.053
2010-03-01,143.596
2010-04-01,145.404
2010-05-01,147.04
2010-06-01,147.705
2010-07-01,147.565
2010-08-01,146.429
2010-09-01,144.61
2010-10-01,143.13
2010-11-01,141.819
2010-12-01,140.628
2011-01-01,139.036
2011-02-01,137.731
2011-03-01,137.785
2011-04-01,139.158
2011-05-01,140.69299999999998
2011-06-01,141.945
2011-07-01,142.343
2011-08-01,141.786
2011-09-01,140.168
2011-10-01,138.41
2011-11-01,136.665
2011-12-01,135.167
2012-01-01,134.167
2012-02-01,133.996
2012-03-01,135.864
2012-04-01,138.47
2012-05-01,141.047
2012-06-01,143.16899999999998
2012-07-01,144.282
2012-08-01,144.705
2012-09-01,144.357
2012-10-01,143.966
2012-11-01,143.958
2012-12-01,143.865
2013-01-01,144.31
2013-02-01,145.161
2013-03-01,147.961
2013-04-01,150.97
2013-05-01,153.86
2013-06-01,156.428
2013-07-01,158.287
2013-08-01,159.394
2013-09-01,159.673
2013-10-01,159.556
2013-11-01,159.364
2013-12-01,159.281
2014-01-01,159.369
2014-02-01,159.872
2014-03-01,161.189
2014-04-01,162.968
2014-05-01,164.68200000000002
2014-06-01,166.21200000000002
2014-07-01,167.136
2014-08-01,167.45
2014-09-01,167.241
2014-10-01,166.90900000000002
2014-11-01,166.657
2014-12-01,166.459
2015-01-01,166.248
2015-02-01,166.63
2015-03-01,168.08700000000002
2015-04-01,169.968
2015-05-01,171.84900000000002
2015-06-01,173.449
2015-07-01,174.495
2015-08-01,174.937
2015-09-01,175.043
2015-10-01,175.049
2015-11-01,175.141
2015-12-01,175.113
2016-01-01,175.032
2016-02-01,175.27599999999998
2016-03-01,176.597
2016-04-01,178.493
2016-05-01,180.341
2016-06-01,181.913
2016-07-01,183.015
2016-08-01,183.653
2016-09-01,183.942
2016-10-01,184.017
2016-11-01,184.23
2016-12-01,184.402
2017-01-01,184.655
2017-02-01,185.022
2017-03-01,186.53
2017-04-01,188.543
2017-05-01,190.539
2017-06-01,192.266
2017-07-01,193.511
2017-08-01,194.346
2017-09-01,194.817
2017-10-01,195.083
2017-11-01,195.45
2017-12-01,195.846
2018-01-01,196.112
2018-02-01,196.9
2018-03-01,198.569
2018-04-01,200.613
2018-05-01,202.452
2018-06-01,204.042
2018-07-01,204.949
2018-08-01,205.326
2018-09-01,205.372
2018-10-01,205.367
2018-11-01,205.105
2018-12-01,204.696
2019-01-01,204.201
2019-02-01,204.429
2019-03-01,205.777
2019-04-01,207.69099999999997
2019-05-01,209.354
2019-06-01,210.59
2019-07-01,211.341
2019-08-01,211.699
2019-09-01,211.878
2019-10-01,211.971
2019-11-01,212.11
2019-12-01,212.241
2020-01-01,212.401
2020-02-01,213.22
2020-03-01,215.197
2020-04-01,217.243
2020-05-01,218.493
2020-06-01,219.82
2020-07-01,221.577
2020-08-01,224.057
2020-09-01,226.81
2020-10-01,229.823
2020-11-01,232.328
2020-12-01,234.378
2021-01-01,236.45
2021-02-01,239.23
2021-03-01,244.226
2021-04-01,249.832
2021-05-01,255.457
2021-06-01,261.181
2021-07-01,265.519
2021-08-01,268.795
2021-09-01,271.449
2021-10-01,273.659
2021-11-01,276.03
2021-12-01,278.603
2022-01-01,281.97700000000003
2022-02-01,287.197
2022-03-01,295.01099999999997
2022-04-01,301.659
2022-05-01,306.434
2022-06-01,308.23
2022-07-01,307.07
2022-08-01,303.627
2022-09-01,300.45
2022-10-01,298.67400000000004
2022-11-01,296.861
2022-12-01,294.348
2023-01-01,292.807
2023-02-01,293.464
2023-03-01,297.344
2023-04-01,301.478
2023-05-01,305.347
2023-06-01,308.27
2023-07-01,310.161
2023-08-01,311.526
2023-09-01,312.4
2023-10-01,312.79
2023-11-01,311.969
2023-12-01,310.774
2024-01-01,310.52099999999996
2024-02-01,312.632
2024-03-01,316.64599999999996
